COUNTY,STNAME,CTYNAME,CENSUS2010POP,BIRTHS2010
55,Louisiana,Lafayette Parish,221578,755
57,Louisiana,Lafourche Parish,96318,293
59,Louisiana,LaSalle Parish,14890,43
61,Louisiana,Lincoln Parish,46735,125
63,Louisiana,Livingston Parish,128026,447
65,Louisiana,Madison Parish,12093,33
67,Louisiana,Morehouse Parish,27979,91
69,Louisiana,Natchitoches Parish,39566,116
71,Louisiana,Orleans Parish,343829,1035
73,Louisiana,Ouachita Parish,153720,502
75,Louisiana,Plaquemines Parish,23042,68
77,Louisiana,Pointe Coupee Parish,22802,59
79,Louisiana,Rapides Parish,131613,432
81,Louisiana,Red River Parish,9091,20
83,Louisiana,Richland Parish,20725,63
85,Louisiana,Sabine Parish,24233,66
87,Louisiana,St. Bernard Parish,35897,146
89,Louisiana,St. Charles Parish,52780,151
91,Louisiana,St. Helena Parish,11203,24
93,Louisiana,St. James Parish,22102,56
95,Louisiana,St. John the Baptist Parish,45924,114
97,Louisiana,St. Landry Parish,83384,302
99,Louisiana,St. Martin Parish,52160,157
101,Louisiana,St. Mary Parish,54650,190
103,Louisiana,St. Tammany Parish,233740,649
105,Louisiana,Tangipahoa Parish,121097,394
107,Louisiana,Tensas Parish,5252,12
109,Louisiana,Terrebonne Parish,111860,393
111,Louisiana,Union Parish,22721,69
113,Louisiana,Vermilion Parish,57999,203
115,Louisiana,Vernon Parish,52334,262
117,Louisiana,Washington Parish,47168,128
119,Louisiana,Webster Parish,41207,102
121,Louisiana,West Baton Rouge Parish,23788,78
123,Louisiana,West Carroll Parish,11604,29
125,Louisiana,West Feliciana Parish,15625,30
127,Louisiana,Winn Parish,15313,44
0,Maine,Maine,1328361,3439
1,Maine,Androscoggin County,107702,369
3,Maine,Aroostook County,71870,157
5,Maine,Cumberland County,281674,741
7,Maine,Franklin County,30768,75
9,Maine,Hancock County,54418,132
11,Maine,Kennebec County,122151,309
13,Maine,Knox County,39736,97
15,Maine,Lincoln County,34457,69
17,Maine,Oxford County,57833,125
19,Maine,Penobscot County,153923,416
21,Maine,Piscataquis County,17535,35
23,Maine,Sagadahoc County,35293,96
25,Maine,Somerset County,52228,135
27,Maine,Waldo County,38786,109
29,Maine,Washington County,32856,87
31,Maine,York County,197131,487
0,Maryland,Maryland,5773552,18454
1,Maryland,Allegany County,75087,193
3,Maryland,Anne Arundel County,537656,1811
5,Maryland,Baltimore County,805029,2409
9,Maryland,Calvert County,88737,234
11,Maryland,Caroline County,33066,100
13,Maryland,Carroll County,167134,410
15,Maryland,Cecil County,101108,298
17,Maryland,Charles County,146551,441
19,Maryland,Dorchester County,32618,81
21,Maryland,Frederick County,233385,711
23,Maryland,Garrett County,30097,70
25,Maryland,Harford County,244826,683
27,Maryland,Howard County,287085,912
29,Maryland,Kent County,20197,41
31,Maryland,Montgomery County,971777,3421
33,Maryland,Prince George's County,863420,3016
35,Maryland,Queen Anne's County,47798,115
37,Maryland,St. Mary's County,105151,364
39,Maryland,Somerset County,26470,65
41,Maryland,Talbot County,37782,92
43,Maryland,Washington County,147430,426
45,Maryland,Wicomico County,98733,327
47,Maryland,Worcester County,51454,114
510,Maryland,Baltimore city,620961,2120
0,Massachusetts,Massachusetts,6547629,18647
1,Massachusetts,Barnstable County,215888,446
3,Massachusetts,Berkshire County,131219,265
5,Massachusetts,Bristol County,548285,1477
7,Massachusetts,Dukes County,16535,42
9,Massachusetts,Essex County,743159,2179
11,Massachusetts,Franklin County,71372,153
13,Massachusetts,Hampden County,463490,1329
15,Massachusetts,Hampshire County,158080,301
17,Massachusetts,Middlesex County,1503085,4698
19,Massachusetts,Nantucket County,10172,44
21,Massachusetts,Norfolk County,670850,1894
23,Massachusetts,Plymouth County,494919,1293
25,Massachusetts,Suffolk County,722023,2262
27,Massachusetts,Worcester County,798552,2264
0,Michigan,Michigan,9883640,29109
1,Michigan,Alcona County,10942,20
3,Michigan,Alger County,9601,14
5,Michigan,Allegan County,111408,338
7,Michigan,Alpena County,29598,65
9,Michigan,Antrim County,23580,41
11,Michigan,Arenac County,15899,19
13,Michigan,Baraga County,8860,22
15,Michigan,Barry County,59173,157
17,Michigan,Bay County,107771,298
19,Michigan,Benzie County,17525,38
21,Michigan,Berrien County,156813,482
23,Michigan,Branch County,45248,132
25,Michigan,Calhoun County,136146,408
27,Michigan,Cass County,52293,106
29,Michigan,Charlevoix County,25949,54
31,Michigan,Cheboygan County,26152,49
33,Michigan,Chippewa County,38520,87
35,Michigan,Clare County,30926,92
37,Michigan,Clinton County,75382,197
39,Michigan,Crawford County,14074,35
41,Michigan,Delta County,37069,81
43,Michigan,Dickinson County,26168,58
45,Michigan,Eaton County,107759,283
47,Michigan,Emmet County,32694,61
49,Michigan,Genesee County,425790,1314
51,Michigan,Gladwin County,25692,62
53,Michigan,Gogebic County,16427,31
55,Michigan,Grand Traverse County,86986,233
57,Michigan,Gratiot County,42476,112
59,Michigan,Hillsdale County,46688,139
61,Michigan,Houghton County,36628,110
63,Michigan,Huron County,33118,92
65,Michigan,Ingham County,280895,825
67,Michigan,Ionia County,63905,201
69,Michigan,Iosco County,25887,59
71,Michigan,Iron County,11817,19
73,Michigan,Isabella County,70311,176
75,Michigan,Jackson County,160248,483
77,Michigan,Kalamazoo County,250331,783
79,Michigan,Kalkaska County,17153,46
81,Michigan,Kent County,602622,2230
83,Michigan,Keweenaw County,2156,2
85,Michigan,Lake County,11539,24
87,Michigan,Lapeer County,88319,230
89,Michigan,Leelanau County,21708,39
91,Michigan,Lenawee County,99892,261
93,Michigan,Livingston County,180967,479
95,Michigan,Luce County,6631,23
97,Michigan,Mackinac County,11113,26
99,Michigan,Macomb County,840978,2358
101,Michigan,Manistee County,24733,67
103,Michigan,Marquette County,67077,157
105,Michigan,Mason County,28705,79
107,Michigan,Mecosta County,42798,114
109,Michigan,Menominee County,24029,48
111,Michigan,Midland County,83629,222
113,Michigan,Missaukee County,14849,36
115,Michigan,Monroe County,152021,428
117,Michigan,Montcalm County,63342,214
119,Michigan,Montmorency County,9765,15
121,Michigan,Muskegon County,172188,548
123,Michigan,Newaygo County,48460,121
125,Michigan,Oakland County,1202362,3348
127,Michigan,Oceana County,26570,83
129,Michigan,Ogemaw County,21699,48
131,Michigan,Ontonagon County,6780,13
133,Michigan,Osceola County,23528,66
135,Michigan,Oscoda County,8640,13
137,Michigan,Otsego County,24164,66
139,Michigan,Ottawa County,263801,915
141,Michigan,Presque Isle County,13376,24
143,Michigan,Roscommon County,24449,59
145,Michigan,Saginaw County,200169,585
147,Michigan,St. Clair County,163040,404
149,Michigan,St. Joseph County,61295,218
151,Michigan,Sanilac County,43114,133
153,Michigan,Schoolcraft County,8485,18
155,Michigan,Shiawassee County,70648,178
157,Michigan,Tuscola County,55729,156
159,Michigan,Van Buren County,76258,233
161,Michigan,Washtenaw County,344791,977
163,Michigan,Wayne County,1820584,5920
165,Michigan,Wexford County,32735,109
0,Minnesota,Minnesota,5303925,17498
1,Minnesota,Aitkin County,16202,30
3,Minnesota,Anoka County,330844,1084
5,Minnesota,Becker County,32504,102
7,Minnesota,Beltrami County,44442,182
9,Minnesota,Benton County,38451,151
11,Minnesota,Big Stone County,5269,15
13,Minnesota,Blue Earth County,64013,207
15,Minnesota,Brown County,25893,57
17,Minnesota,Carlton County,35386,105
19,Minnesota,Carver County,91042,314
21,Minnesota,Cass County,28567,96
23,Minnesota,Chippewa County,12441,38
25,Minnesota,Chisago County,53887,138
27,Minnesota,Clay County,58999,200
29,Minnesota,Clearwater County,8695,23
31,Minnesota,Cook County,5176,6
33,Minnesota,Cottonwood County,11687,32
35,Minnesota,Crow Wing County,62500,207
37,Minnesota,Dakota County,398552,1322
39,Minnesota,Dodge County,20087,71
41,Minnesota,Douglas County,36009,98
43,Minnesota,Faribault County,14553,27
45,Minnesota,Fillmore County,20866,63
47,Minnesota,Freeborn County,31255,95
49,Minnesota,Goodhue County,46183,147
51,Minnesota,Grant County,6018,17
53,Minnesota,Hennepin County,1152425,4035
55,Minnesota,Houston County,19027,36
57,Minnesota,Hubbard County,20428,60
59,Minnesota,Isanti County,37816,124
61,Minnesota,Itasca County,45058,101
63,Minnesota,Jackson County,10266,22
65,Minnesota,Kanabec County,16239,37
67,Minnesota,Kandiyohi County,42239,135
69,Minnesota,Kittson County,4552,9
71,Minnesota,Koochiching County,13311,29
73,Minnesota,Lac qui Parle County,7259,23
75,Minnesota,Lake County,10866,36
77,Minnesota,Lake of the Woods County,4045,3
79,Minnesota,Le Sueur County,27703,102
81,Minnesota,Lincoln County,5896,20
83,Minnesota,Lyon County,25857,90
85,Minnesota,McLeod County,36651,112
87,Minnesota,Mahnomen County,5413,28
89,Minnesota,Marshall County,9439,33
91,Minnesota,Martin County,20840,47
93,Minnesota,Meeker County,23300,78
95,Minnesota,Mille Lacs County,26097,95
97,Minnesota,Morrison County,33198,105
99,Minnesota,Mower County,39163,126
101,Minnesota,Murray County,8725,32
103,Minnesota,Nicollet County,32727,96
105,Minnesota,Nobles County,21378,103
107,Minnesota,Norman County,6852,17
109,Minnesota,Olmsted County,144248,556
111,Minnesota,Otter Tail County,57303,164
113,Minnesota,Pennington County,13930,53
115,Minnesota,Pine County,29750,66
117,Minnesota,Pipestone County,9596,35
119,Minnesota,Polk County,31600,86
121,Minnesota,Pope County,10995,22
123,Minnesota,Ramsey County,508640,1843
125,Minnesota,Red Lake County,4089,17
127,Minnesota,Redwood County,16059,50
129,Minnesota,Renville County,15730,51
131,Minnesota,Rice County,64142,151
133,Minnesota,Rock County,9687,36
135,Minnesota,Roseau County,15629,60
137,Minnesota,St. Louis County,200226,492
139,Minnesota,Scott County,129928,511
141,Minnesota,Sherburne County,88499,327
143,Minnesota,Sibley County,15226,46
145,Minnesota,Stearns County,150642,485
147,Minnesota,Steele County,36576,123
149,Minnesota,Stevens County,9726,33
151,Minnesota,Swift County,9783,25
153,Minnesota,Todd County,24895,77
155,Minnesota,Traverse County,3558,9
157,Minnesota,Wabasha County,21676,61
159,Minnesota,Wadena County,13843,47
161,Minnesota,Waseca County,19136,53
163,Minnesota,Washington County,238136,767
165,Minnesota,Watonwan County,11211,27
167,Minnesota,Wilkin County,6576,18
169,Minnesota,Winona County,51461,121
171,Minnesota,Wright County,124700,501
173,Minnesota,Yellow Medicine County,10438,24
0,Mississippi,Mississippi,2967297,9418
1,Mississippi,Adams County,32297,81
3,Mississippi,Alcorn County,37057,108
5,Mississippi,Amite County,13131,31
7,Mississippi,Attala County,19564,55
9,Mississippi,Benton County,8729,20
11,Mississippi,Bolivar County,34145,125
13,Mississippi,Calhoun County,14962,48
15,Mississippi,Carroll County,10597,16
17,Mississippi,Chickasaw County,17392,84
19,Mississippi,Choctaw County,8547,29
21,Mississippi,Claiborne County,9604,35
23,Mississippi,Clarke County,16732,46
25,Mississippi,Clay County,20634,49
27,Mississippi,Coahoma County,26151,117
29,Mississippi,Copiah County,29449,88
31,Mississippi,Covington County,19568,72
33,Mississippi,DeSoto County,161252,490
35,Mississippi,Forrest County,74934,263
37,Mississippi,Franklin County,8118,21
39,Mississippi,George County,22578,91
41,Mississippi,Greene County,14400,33
43,Mississippi,Grenada County,21906,56
45,Mississippi,Hancock County,43929,120
47,Mississippi,Harrison County,187105,670
49,Mississippi,Hinds County,245285,823
51,Mississippi,Holmes County,19198,81
53,Mississippi,Humphreys County,9375,36
55,Mississippi,Issaquena County,1406,6
57,Mississippi,Itawamba County,23401,61
59,Mississippi,Jackson County,139668,389
61,Mississippi,Jasper County,17062,55
63,Mississippi,Jefferson County,7726,21
65,Mississippi,Jefferson Davis County,12487,35
67,Mississippi,Jones County,67761,216
69,Mississippi,Kemper County,10456,19
71,Mississippi,Lafayette County,47351,148
73,Mississippi,Lamar County,55658,170
75,Mississippi,Lauderdale County,80261,256
77,Mississippi,Lawrence County,12929,43
79,Mississippi,Leake County,23805,64
81,Mississippi,Lee County,82910,274
83,Mississippi,Leflore County,32317,140
85,Mississippi,Lincoln County,34869,106
87,Mississippi,Lowndes County,59779,176
89,Mississippi,Madison County,95203,276
91,Mississippi,Marion County,27088,70
93,Mississippi,Marshall County,37144,102
95,Mississippi,Monroe County,36989,103
97,Mississippi,Montgomery County,10925,35
99,Mississippi,Neshoba County,29676,111
101,Mississippi,Newton County,21720,59
103,Mississippi,Noxubee County,11545,31
105,Mississippi,Oktibbeha County,47671,144
107,Mississippi,Panola County,34707,118
109,Mississippi,Pearl River County,55834,165
111,Mississippi,Perry County,12250,35
113,Mississippi,Pike County,40404,145
115,Mississippi,Pontotoc County,29957,126
117,Mississippi,Prentiss County,25276,84
119,Mississippi,Quitman County,8223,18
121,Mississippi,Rankin County,141617,447
123,Mississippi,Scott County,28264,106
125,Mississippi,Sharkey County,4916,19
127,Mississippi,Simpson County,27503,90
129,Mississippi,Smith County,16491,58
131,Mississippi,Stone County,17786,55
133,Mississippi,Sunflower County,29450,90
135,Mississippi,Tallahatchie County,15378,44
137,Mississippi,Tate County,28886,76
139,Mississippi,Tippah County,22232,67
141,Mississippi,Tishomingo County,19593,51
143,Mississippi,Tunica County,10778,48
145,Mississippi,Union County,27134,78
147,Mississippi,Walthall County,15443,50
149,Mississippi,Warren County,48773,158
151,Mississippi,Washington County,51137,189
153,Mississippi,Wayne County,20747,77
155,Mississippi,Webster County,10253,35
157,Mississippi,Wilkinson County,9878,28
159,Mississippi,Winston County,19198,46
161,Mississippi,Yalobusha County,12678,31
163,Mississippi,Yazoo County,28065,86
0,Missouri,Missouri,5988927,19015
1,Missouri,Adair County,25607,68
3,Missouri,Andrew County,17291,31
5,Missouri,Atchison County,5685,11
7,Missouri,Audrain County,25529,91
9,Missouri,Barry County,35597,95
11,Missouri,Barton County,12402,24
13,Missouri,Bates County,17049,48
15,Missouri,Benton County,19056,46
17,Missouri,Bollinger County,12363,31
19,Missouri,Boone County,162642,494
21,Missouri,Buchanan County,89201,315
23,Missouri,Butler County,42794,125
25,Missouri,Caldwell County,9424,23
27,Missouri,Callaway County,44332,122
29,Missouri,Camden County,44002,98
31,Missouri,Cape Girardeau County,75674,229
33,Missouri,Carroll County,9295,34
35,Missouri,Carter County,6265,20
37,Missouri,Cass County,99478,354
39,Missouri,Cedar County,13982,36
41,Missouri,Chariton County,7831,18
43,Missouri,Christian County,77422,258
45,Missouri,Clark County,7139,16
47,Missouri,Clay County,221939,784
49,Missouri,Clinton County,20743,42
51,Missouri,Cole County,75990,233
53,Missouri,Cooper County,17601,45
55,Missouri,Crawford County,24696,68
57,Missouri,Dade County,7883,15
59,Missouri,Dallas County,16777,46
61,Missouri,Daviess County,8433,23
63,Missouri,DeKalb County,12892,23
65,Missouri,Dent County,15657,47
67,Missouri,Douglas County,13684,34
69,Missouri,Dunklin County,31953,108
71,Missouri,Franklin County,101492,296
73,Missouri,Gasconade County,15222,37
75,Missouri,Gentry County,6738,28
77,Missouri,Greene County,275174,870
79,Missouri,Grundy County,10261,41
81,Missouri,Harrison County,8957,27
83,Missouri,Henry County,22272,63
85,Missouri,Hickory County,9627,21
87,Missouri,Holt County,4912,15
89,Missouri,Howard County,10144,41
91,Missouri,Howell County,40400,123
93,Missouri,Iron County,10630,32
95,Missouri,Jackson County,674158,2445
97,Missouri,Jasper County,117404,416
99,Missouri,Jefferson County,218733,711
101,Missouri,Johnson County,52595,192
103,Missouri,Knox County,4131,10
105,Missouri,Laclede County,35571,113
107,Missouri,Lafayette County,33381,108
109,Missouri,Lawrence County,38634,124
111,Missouri,Lewis County,10211,28
113,Missouri,Lincoln County,52566,176
115,Missouri,Linn County,12761,28
117,Missouri,Livingston County,15195,50
119,Missouri,McDonald County,23083,76
121,Missouri,Macon County,15566,37
123,Missouri,Madison County,12226,28
125,Missouri,Maries County,9176,30
127,Missouri,Marion County,28781,95
129,Missouri,Mercer County,3785,10
131,Missouri,Miller County,24748,72
133,Missouri,Mississippi County,14358,45
135,Missouri,Moniteau County,15607,46
137,Missouri,Monroe County,8840,22
139,Missouri,Montgomery County,12236,32
141,Missouri,Morgan County,20565,62
143,Missouri,New Madrid County,18956,62
145,Missouri,Newton County,58114,182
147,Missouri,Nodaway County,23370,71
149,Missouri,Oregon County,10881,33
151,Missouri,Osage County,13878,38
153,Missouri,Ozark County,9723,17
155,Missouri,Pemiscot County,18296,63
157,Missouri,Perry County,18971,63
159,Missouri,Pettis County,42201,166
161,Missouri,Phelps County,45156,144
163,Missouri,Pike County,18516,50
165,Missouri,Platte County,89322,277
167,Missouri,Polk County,31137,77
169,Missouri,Pulaski County,52274,216
171,Missouri,Putnam County,4979,16
173,Missouri,Ralls County,10167,35
175,Missouri,Randolph County,25414,85
177,Missouri,Ray County,23494,56
179,Missouri,Reynolds County,6696,13
181,Missouri,Ripley County,14100,48
183,Missouri,St. Charles County,360485,1208
185,Missouri,St. Clair County,9805,25
186,Missouri,Ste. Genevieve County,18145,46
187,Missouri,St. Francois County,65359,196
189,Missouri,St. Louis County,998954,2841
195,Missouri,Saline County,23370,73
197,Missouri,Schuyler County,4431,18
199,Missouri,Scotland County,4843,22
201,Missouri,Scott County,39191,118
203,Missouri,Shannon County,8441,29
205,Missouri,Shelby County,6373,24
207,Missouri,Stoddard County,29968,81
209,Missouri,Stone County,32202,84
211,Missouri,Sullivan County,6714,27
213,Missouri,Taney County,51675,146
215,Missouri,Texas County,26008,71
217,Missouri,Vernon County,21159,47
219,Missouri,Warren County,32513,104
221,Missouri,Washington County,25195,75
223,Missouri,Wayne County,13521,34
225,Missouri,Webster County,36202,130
227,Missouri,Worth County,2171,5
229,Missouri,Wright County,18815,54
510,Missouri,St. Louis city,319294,1240
0,Montana,Montana,989415,3067
1,Montana,Beaverhead County,9246,19
3,Montana,Big Horn County,12865,71
5,Montana,Blaine County,6491,22
7,Montana,Broadwater County,5612,13
9,Montana,Carbon County,10078,23
11,Montana,Carter County,1160,3
13,Montana,Cascade County,81327,311
15,Montana,Chouteau County,5813,17
17,Montana,Custer County,11699,34
19,Montana,Daniels County,1751,6
21,Montana,Dawson County,8966,32
23,Montana,Deer Lodge County,9298,25
25,Montana,Fallon County,2890,6
27,Montana,Fergus County,11586,40
29,Montana,Flathead County,90928,266
31,Montana,Gallatin County,89513,290
33,Montana,Garfield County,1206,3
35,Montana,Glacier County,13399,44
37,Montana,Golden Valley County,884,0
39,Montana,Granite County,3079,3
41,Montana,Hill County,16096,72
43,Montana,Jefferson County,11406,22
45,Montana,Judith Basin County,2072,5
47,Montana,Lake County,28746,80
49,Montana,Lewis and Clark County,63395,200
51,Montana,Liberty County,2339,6
53,Montana,Lincoln County,19687,45
55,Montana,McCone County,1734,5
57,Montana,Madison County,7691,13
59,Montana,Meagher County,1891,3
61,Montana,Mineral County,4223,16
63,Montana,Missoula County,109299,323
65,Montana,Musselshell County,4538,10
67,Montana,Park County,15636,35
69,Montana,Petroleum County,494,1
71,Montana,Phillips County,4253,6
73,Montana,Pondera County,6153,13
75,Montana,Powder River County,1743,4
77,Montana,Powell County,7027,14
79,Montana,Prairie County,1179,2
81,Montana,Ravalli County,40212,116
83,Montana,Richland County,9746,31
85,Montana,Roosevelt County,10425,59
87,Montana,Rosebud County,9233,42
89,Montana,Sanders County,11413,24
91,Montana,Sheridan County,3384,4
93,Montana,Silver Bow County,34200,93
95,Montana,Stillwater County,9117,30
97,Montana,Sweet Grass County,3651,15
99,Montana,Teton County,6073,16
101,Montana,Toole County,5324,16
103,Montana,Treasure County,718,2
105,Montana,Valley County,7369,18
107,Montana,Wheatland County,2168,4
109,Montana,Wibaux County,1017,0
111,Montana,Yellowstone County,147972,494
0,Nebraska,Nebraska,1826341,6512
1,Nebraska,Adams County,31364,103
3,Nebraska,Antelope County,6685,30
5,Nebraska,Arthur County,460,2
7,Nebraska,Banner County,690,1
9,Nebraska,Blaine County,478,0
11,Nebraska,Boone County,5505,18
13,Nebraska,Box Butte County,11308,25
15,Nebraska,Boyd County,2099,4
17,Nebraska,Brown County,3145,10
19,Nebraska,Buffalo County,46102,162
21,Nebraska,Burt County,6858,24
23,Nebraska,Butler County,8395,19
25,Nebraska,Cass County,25241,72
27,Nebraska,Cedar County,8852,25
29,Nebraska,Chase County,3966,13
31,Nebraska,Cherry County,5713,7
33,Nebraska,Cheyenne County,9998,32
35,Nebraska,Clay County,6542,20
37,Nebraska,Colfax County,10515,41
39,Nebraska,Cuming County,9139,31
41,Nebraska,Custer County,10939,29
43,Nebraska,Dakota County,21006,106
45,Nebraska,Dawes County,9182,25
47,Nebraska,Dawson County,24326,92
49,Nebraska,Deuel County,1941,3
51,Nebraska,Dixon County,6000,21
53,Nebraska,Dodge County,36691,96
55,Nebraska,Douglas County,517110,2083
57,Nebraska,Dundy County,2008,6
59,Nebraska,Fillmore County,5890,11
61,Nebraska,Franklin County,3225,7
63,Nebraska,Frontier County,2756,6
65,Nebraska,Furnas County,4959,11
67,Nebraska,Gage County,22311,62
69,Nebraska,Garden County,2057,5
71,Nebraska,Garfield County,2049,1
73,Nebraska,Gosper County,2044,2
75,Nebraska,Grant County,614,2
77,Nebraska,Greeley County,2538,8
79,Nebraska,Hall County,58607,221
81,Nebraska,Hamilton County,9124,22
83,Nebraska,Harlan County,3423,5
85,Nebraska,Hayes County,967,2
87,Nebraska,Hitchcock County,2908,9
89,Nebraska,Holt County,10435,24
91,Nebraska,Hooker County,736,2
93,Nebraska,Howard County,6274,20
95,Nebraska,Jefferson County,7547,10
97,Nebraska,Johnson County,5217,13
99,Nebraska,Kearney County,6489,19
101,Nebraska,Keith County,8368,20
103,Nebraska,Keya Paha County,824,0
105,Nebraska,Kimball County,3821,9
107,Nebraska,Knox County,8701,23
109,Nebraska,Lancaster County,285407,1034
111,Nebraska,Lincoln County,36288,117
113,Nebraska,Logan County,763,3
115,Nebraska,Loup County,632,0
117,Nebraska,McPherson County,539,0
119,Nebraska,Madison County,34876,121
121,Nebraska,Merrick County,7845,23
123,Nebraska,Morrill County,5042,15
125,Nebraska,Nance County,3735,12
127,Nebraska,Nemaha County,7248,22
129,Nebraska,Nuckolls County,4500,11
131,Nebraska,Otoe County,15740,54
133,Nebraska,Pawnee County,2773,1
135,Nebraska,Perkins County,2970,6
137,Nebraska,Phelps County,9188,22
139,Nebraska,Pierce County,7266,20
141,Nebraska,Platte County,32237,138
143,Nebraska,Polk County,5406,8
145,Nebraska,Red Willow County,11055,29
147,Nebraska,Richardson County,8363,31
149,Nebraska,Rock County,1526,1
151,Nebraska,Saline County,14200,48
153,Nebraska,Sarpy County,158840,634
155,Nebraska,Saunders County,20780,70
157,Nebraska,Scotts Bluff County,36970,153
159,Nebraska,Seward County,16750,58
161,Nebraska,Sheridan County,5469,15
163,Nebraska,Sherman County,3152,7
165,Nebraska,Sioux County,1311,2
167,Nebraska,Stanton County,6129,26
169,Nebraska,Thayer County,5228,12
171,Nebraska,Thomas County,647,3
173,Nebraska,Thurston County,6940,39
175,Nebraska,Valley County,4260,14
177,Nebraska,Washington County,20234,54
179,Nebraska,Wayne County,9595,30
181,Nebraska,Webster County,3812,11
183,Nebraska,Wheeler County,818,5
185,Nebraska,York County,13665,49
0,Nevada,Nevada,2700551,8892
1,Nevada,Churchill County,24877,71
3,Nevada,Clark County,1951269,6582
5,Nevada,Douglas County,46997,97
7,Nevada,Elko County,48818,185
9,Nevada,Esmeralda County,783,5
11,Nevada,Eureka County,1987,4
13,Nevada,Humboldt County,16528,60
15,Nevada,Lander County,5775,17
17,Nevada,Lincoln County,5345,10
19,Nevada,Lyon County,51980,158
21,Nevada,Mineral County,4772,10
23,Nevada,Nye County,43946,92
27,Nevada,Pershing County,6753,12
29,Nevada,Storey County,4010,3
31,Nevada,Washoe County,421407,1415
33,Nevada,White Pine County,10030,29
510,Nevada,Carson City,55274,142
0,New Hampshire,New Hampshire,1316470,3265
1,New Hampshire,Belknap County,60088,154
3,New Hampshire,Carroll County,47818,94
5,New Hampshire,Cheshire County,77117,186
7,New Hampshire,Coos County,33055,82
9,New Hampshire,Grafton County,89118,181
11,New Hampshire,Hillsborough County,400721,1127
13,New Hampshire,Merrimack County,146445,355
15,New Hampshire,Rockingham County,295223,637
17,New Hampshire,Strafford County,123143,319
19,New Hampshire,Sullivan County,43742,130
0,New Jersey,New Jersey,8791894,26538
1,New Jersey,Atlantic County,274549,802
3,New Jersey,Bergen County,905116,2373
5,New Jersey,Burlington County,448734,1211
7,New Jersey,Camden County,513657,1645
9,New Jersey,Cape May County,97265,236
11,New Jersey,Cumberland County,156898,564
13,New Jersey,Essex County,783969,2578
15,New Jersey,Gloucester County,288288,860
17,New Jersey,Hudson County,634266,2428
19,New Jersey,Hunterdon County,128349,244
21,New Jersey,Mercer County,366513,1053
23,New Jersey,Middlesex County,809858,2484
25,New Jersey,Monmouth County,630380,1607
27,New Jersey,Morris County,492276,1266
29,New Jersey,Ocean County,576567,1954
31,New Jersey,Passaic County,501226,1811
33,New Jersey,Salem County,66083,200
35,New Jersey,Somerset County,323444,848
37,New Jersey,Sussex County,149265,383
39,New Jersey,Union County,536499,1738
41,New Jersey,Warren County,108692,253
0,New Mexico,New Mexico,2059179,6646
1,New Mexico,Bernalillo County,662564,2134
3,New Mexico,Catron County,3725,1
5,New Mexico,Chaves County,65645,232
6,New Mexico,Cibola County,27213,104
7,New Mexico,Colfax County,13750,30
9,New Mexico,Curry County,48376,215
11,New Mexico,De Baca County,2022,7
13,New Mexico,Doña Ana County,209233,748
15,New Mexico,Eddy County,53829,194
17,New Mexico,Grant County,29514,92
19,New Mexico,Guadalupe County,4687,12
21,New Mexico,Harding County,695,1
23,New Mexico,Hidalgo County,4894,11
25,New Mexico,Lea County,64727,246
27,New Mexico,Lincoln County,20497,38
28,New Mexico,Los Alamos County,17950,36
29,New Mexico,Luna County,25095,84
31,New Mexico,McKinley County,71492,299
33,New Mexico,Mora County,4881,11
35,New Mexico,Otero County,63797,207
37,New Mexico,Quay County,9041,30
39,New Mexico,Rio Arriba County,40246,158
41,New Mexico,Roosevelt County,19846,77
43,New Mexico,Sandoval County,131561,371
45,New Mexico,San Juan County,130044,457
47,New Mexico,San Miguel County,29393,92
49,New Mexico,Santa Fe County,144170,342
51,New Mexico,Sierra County,11988,17
53,New Mexico,Socorro County,17866,52
55,New Mexico,Taos County,32937,76
57,New Mexico,Torrance County,16383,41
59,New Mexico,Union County,4549,15
61,New Mexico,Valencia County,76569,216
0,New York,New York,19378102,61420
1,New York,Albany County,304204,784
3,New York,Allegany County,48946,120
5,New York,Bronx County,1385108,5430
7,New York,Broome County,200600,497
9,New York,Cattaraugus County,80317,261
11,New York,Cayuga County,80026,216
13,New York,Chautauqua County,134905,311
15,New York,Chemung County,88830,254
17,New York,Chenango County,50477,107
19,New York,Clinton County,82128,218
21,New York,Columbia County,63096,153
23,New York,Cortland County,49336,121
25,New York,Delaware County,47980,121
27,New York,Dutchess County,297488,765
29,New York,Erie County,919040,2554
31,New York,Essex County,39370,96
33,New York,Franklin County,51599,128
35,New York,Fulton County,55531,137
37,New York,Genesee County,60079,159
39,New York,Greene County,49221,117
41,New York,Hamilton County,4836,10
43,New York,Herkimer County,64519,173
45,New York,Jefferson County,116229,491
47,New York,Kings County,2504700,10335
49,New York,Lewis County,27087,95
51,New York,Livingston County,65393,145
53,New York,Madison County,73442,177
55,New York,Monroe County,744344,2210
57,New York,Montgomery County,50219,148
59,New York,Nassau County,1339532,3707
61,New York,New York County,1585873,5027
63,New York,Niagara County,216469,544
65,New York,Oneida County,234878,671
67,New York,Onondaga County,467026,1367
69,New York,Ontario County,107931,248
71,New York,Orange County,372813,1266
73,New York,Orleans County,42883,112
75,New York,Oswego County,122109,345
77,New York,Otsego County,62259,127
79,New York,Putnam County,99710,248
81,New York,Queens County,2230722,7600
83,New York,Rensselaer County,159429,430
85,New York,Richmond County,468730,1381
